profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21082_1,25,51.58668833,2.341204487,2.03e+17,-0.937520189,-6.55497045,02.06.2021 11:03,02.06.2023 11:18
21082_1,75,51.59114849,2.317995205,7.29e+16,0.222474986,-7.25795583,02.06.2021 11:03,02.06.2023 11:18
21082_1,125,51.60545139,2.298904167,-679000000000000.0,1.669793115,-6.180195829,02.06.2021 11:03,02.06.2023 11:18
21082_1,175,51.60454179,2.318347436,-4750000000000000.0,0.781941175,-5.308277146,02.06.2021 11:03,02.06.2023 11:18
21082_1,225,51.59452464,2.322305357,-7330000000000000.0,0.164121668,-6.556121859,02.06.2021 11:03,02.06.2023 11:18
21082_1,275,51.59214813,2.307653438,-2.45e+16,1.861068842,-8.998573711,02.06.2021 11:03,02.06.2023 11:18
21082_1,325,51.60118346,2.308945385,1960000000000000.0,5.165210557,-7.350526742,02.06.2021 11:03,02.06.2023 11:18
21082_1,375,51.60763,2.323063667,2.8e+16,3.448753379,-4.575250695,02.06.2021 11:03,02.06.2023 11:18
21082_1,425,51.60734926,2.336657407,3240000000000000.0,2.635602188,-5.360798438,02.06.2021 11:03,02.06.2023 11:18
21082_1,475,51.59886613,2.337458065,-8010000000000000.0,1.351799102,-6.571510124,02.06.2021 11:03,02.06.2023 11:18
21082_1,525,51.60271469,2.325955,1.49e+16,3.642506316,-8.335026074,02.06.2021 11:03,02.06.2023 11:18
21082_1,575,51.61064174,2.336064783,2.5e+16,3.783329086,-4.317869473,02.06.2021 11:03,02.06.2023 11:18
21082_1,625,51.61140783,2.34722087,4.13e+16,2.007031508,-3.527917216,02.06.2021 11:03,02.06.2023 11:18
21082_1,675,51.60440483,2.347756552,2.94e+16,0.337551776,-5.3278548,02.06.2021 11:03,02.06.2023 11:18
21082_1,725,51.60502905,2.333331429,2780000000000000.0,2.759330371,-7.73576412,02.06.2021 11:03,02.06.2023 11:18
21082_1,775,51.61305042,2.332414583,-2.93e+16,5.457119095,-5.482365544,02.06.2021 11:03,02.06.2023 11:18
21082_1,825,51.6199385,2.3391845,1.01e+16,4.855791416,-2.594670282,02.06.2021 11:03,02.06.2023 11:18
21082_1,875,51.62218808,2.352113462,1.79e+16,2.366952714,-2.140279271,02.06.2021 11:03,02.06.2023 11:18
21082_1,925,51.61655652,2.358465652,4.6e+16,0.417775824,-2.728764048,02.06.2021 11:03,02.06.2023 11:18
21082_1,975,51.61023889,2.349681481,2.33e+16,0.314003961,-5.247201404,02.06.2021 11:03,02.06.2023 11:18
21082_1,1025,51.61463636,2.336927727,-2.15e+16,4.015103022,-5.798260877,02.06.2021 11:03,02.06.2023 11:18
21082_1,1075,51.62351857,2.337177619,1890000000000000.0,6.159727891,-2.167183114,02.06.2021 11:03,02.06.2023 11:18
21082_1,1125,51.628365,2.345393125,1.44e+16,4.727542166,-0.16934408,02.06.2021 11:03,02.06.2023 11:18
21082_1,1175,51.62664857,2.356834286,2.3e+16,2.335335465,-0.130036078,02.06.2021 11:03,02.06.2023 11:18
21082_1,1225,51.6200735,2.35775,5950000000000000.0,1.131548755,-1.41583161,02.06.2021 11:03,02.06.2023 11:18
21082_1,1275,51.61783391,2.345371304,-7980000000000000.0,2.944023111,-2.862812825,02.06.2021 11:03,02.06.2023 11:18
21082_1,1325,51.62659455,2.338770455,2.48e+16,5.585301882,0.170069577,02.06.2021 11:03,02.06.2023 11:18
21082_1,1375,51.63532179,2.350713571,5.69e+16,4.888608297,4.55190593,02.06.2021 11:03,02.06.2023 11:18
21082_1,1425,51.63519833,2.366049167,6.71e+16,3.682235957,6.186825143,02.06.2021 11:03,02.06.2023 11:18
21082_1,1475,,,,,,02.06.2021 11:03,02.06.2023 11:18
