Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
66.99629383,36.53993809,1.25e+17,1008.695938,4.97e-09,0.140445031,0.366537985,292.1305847
237.0412611,150.2727345,6.16e+16,989.8673438,2.49e-09,0.219813481,0.573676333,293.1063843
490.3247352,357.0766847,9106650000000000.0,961.2413281,3.78e-10,0.26578024,0.693641868,293.0171509
874.7219418,674.0570944,2981440000000000.0,919.0235938,1.27e-10,0.328151882,0.856421395,291.0783997
1442.213364,1144.583051,1106870000000000.0,859.5,4.96e-11,0.414147124,1.08085456,288.4101257
2062.533334,1731.813387,299474000000000.0,798.0121094,1.42e-11,0.513402849,1.339895363,284.303772
3080.711491,2532.635423,246926000000000.0,705.288125,1.27e-11,0.631924917,1.64921809,280.8831177
4095.072337,3536.23659,400695000000000.0,622.7310156,2.31e-11,0.762602637,1.99026503,276.8582458
5242.845426,4590.930073,657841000000000.0,538.9254297,4.24e-11,0.889331698,2.321006633,270.8943481
6458.041668,5731.881157,613835000000000.0,460.5185156,4.47e-11,1.01608783,2.651818886,263.3693237
7987.449873,7059.544464,383290000000000.0,375.3349219,3.21e-11,1.144887447,2.987964293,253.8880005
9198.970825,8400.878261,363151000000000.0,316.7364844,3.52e-11,1.265688459,3.303234681,243.092453
10104.89531,9444.150323,465506000000000.0,277.8473242,5.06e-11,1.352469822,3.529719488,233.9829865
10982.31811,10333.13954,502472000000000.0,242.9461914,6.02e-11,1.419540385,3.704762415,226.1109924
11572.96816,11060.74072,473762000000000.0,221.742207,6.2e-11,1.469255428,3.83451034,220.3736572
12465.0959,11788.22193,231656000000000.0,192.8143555,3.33e-11,1.510033627,3.940934605,215.5018005
13360.83047,,174386000000000.0,167.0847461,2.82e-11,1.549834549,4.044808339,210.7779846
14273.47617,,172918000000000.0,144.2806738,3.24e-11,1.562795659,4.078634661,211.2006836
