profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21116_1,25,53.12894833,4.340935,2.09e+17,-5.121239974,-0.936446911,22.07.2021 10:42,22.07.2021 11:01
21116_1,75,53.13189292,4.356773297,8.54e+16,-3.861133552,0.089087873,22.07.2021 10:42,22.07.2021 11:01
21116_1,125,53.13269404,4.353572174,3.76e+16,-3.00483244,-0.936514358,22.07.2021 10:42,22.07.2021 11:01
21116_1,175,53.12791481,4.340546731,2.09e+16,-2.166405954,-0.410716558,22.07.2021 10:42,22.07.2021 11:01
21116_1,225,53.11616119,4.326938571,4890000000000000.0,-5.099691568,-0.966138979,22.07.2021 10:42,22.07.2021 11:01
21116_1,275,53.1217939,4.324675122,4990000000000000.0,-1.956105199,-0.157276425,22.07.2021 10:42,22.07.2021 11:01
21116_1,325,53.1118205,4.3115905,-8270000000000000.0,-4.351455943,-2.33700517,22.07.2021 10:42,22.07.2021 11:01
21116_1,375,53.10545654,4.322475385,-9540000000000000.0,-5.737025341,0.553016172,22.07.2021 10:42,22.07.2021 11:01
21116_1,425,53.11231833,4.330041667,-8350000000000000.0,-2.726533101,0.829239222,22.07.2021 10:42,22.07.2021 11:01
21116_1,475,53.11715657,4.307462857,2700000000000000.0,-1.702278481,-1.888360308,22.07.2021 10:42,22.07.2021 11:01
21116_1,525,53.10467476,4.306660238,1.11e+16,-4.452277034,-1.384428321,22.07.2021 10:42,22.07.2021 11:01
21116_1,575,53.11160813,4.31917875,2.51e+16,-3.277267905,0.841536204,22.07.2021 10:42,22.07.2021 11:01
21116_1,625,53.11030463,4.295497073,2.95e+16,-2.32709923,-2.060237133,22.07.2021 10:42,22.07.2021 11:01
21116_1,675,53.09701657,4.300649143,-3990000000000000.0,-4.618617819,-0.369939522,22.07.2021 10:42,22.07.2021 11:01
21116_1,725,53.10788058,4.304701346,1.16e+16,-2.187224549,0.30100848,22.07.2021 10:42,22.07.2021 11:01
21116_1,775,53.10275968,4.27668871,5570000000000000.0,-2.363824869,-2.80975906,22.07.2021 10:42,22.07.2021 11:01
21116_1,825,53.09577034,4.290750345,-1.02e+16,-4.967766686,-0.2201995,22.07.2021 10:42,22.07.2021 11:01
21116_1,875,53.10213865,4.276627297,1.57e+16,-3.236669813,-2.062369551,22.07.2021 10:42,22.07.2021 11:01
21116_1,925,53.08999568,4.279859459,2.73e+16,-6.835541891,-0.117671516,22.07.2021 10:42,22.07.2021 11:01
21116_1,975,53.09763,4.286124,1.93e+16,-5.032197503,0.867384362,22.07.2021 10:42,22.07.2021 11:01
21116_1,1025,53.09446467,4.268190333,5.17e+16,-5.542812602,-2.500086452,22.07.2021 10:42,22.07.2021 11:01
21116_1,1075,53.08408875,4.278795,-8750000000000000.0,-8.055758536,-0.679620286,22.07.2021 10:42,22.07.2021 11:01
21116_1,1125,53.09304185,4.283630741,-3.02e+16,-5.618068047,0.779536049,22.07.2021 10:42,22.07.2021 11:01
21116_1,1175,53.09394769,4.262713077,-1.35e+16,-4.526183197,-1.751201297,22.07.2021 10:42,22.07.2021 11:01
21116_1,1225,53.08367552,4.251114828,-4650000000000000.0,-6.753484426,-2.820357768,22.07.2021 10:42,22.07.2021 11:01
21116_1,1275,53.07838267,4.269389333,-1330000000000000.0,-8.018407085,1.05846305,22.07.2021 10:42,22.07.2021 11:01
21116_1,1325,53.08733304,4.276431739,1.58e+16,-4.999441248,1.9160362,22.07.2021 10:42,22.07.2021 11:01
21116_1,1375,53.09023744,4.257067949,-2.46e+16,-4.190293066,-0.847524983,22.07.2021 10:42,22.07.2021 11:01
21116_1,1425,53.08296625,4.243516667,1.48e+16,-5.288482578,-3.012039677,22.07.2021 10:42,22.07.2021 11:01
21116_1,1475,,,,,,22.07.2021 10:42,22.07.2021 11:01
