Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
69.91169382,36.53993809,2.08e+17,1005.474766,8.28e-09,0.291543419,0.506305411,291.8405151
232.1476268,150.2727345,1.09e+17,986.7190625,4.43e-09,0.389102976,0.675731054,293.8109741
484.3200024,357.0766847,1.49e+16,958.2153125,6.19e-10,0.447813531,0.777690041,293.5897827
866.7478339,674.0570944,4302000000000000.0,916.1857031,1.84e-10,0.516988759,0.897822378,291.0410156
1429.633393,1144.583051,2687230000000000.0,856.9323438,1.2e-10,0.604381909,1.049592652,287.5426025
2043.338664,1731.813387,1645640000000000.0,795.7238281,7.79e-11,0.748411626,1.299720146,283.2009888
3049.95363,2532.635423,1411360000000000.0,703.4154688,7.22e-11,0.873479575,1.516917912,277.6429443
4046.397215,3536.23659,924541000000000.0,621.2177734,5.24e-11,0.990257561,1.719719013,272.1268921
5165.385192,4590.930073,908881000000000.0,537.7620703,5.73e-11,1.106339514,1.921311356,264.6384583
6344.327964,5731.881157,1273980000000000.0,459.6636719,9.05e-11,1.215593537,2.111046054,256.5756836
7835.342155,7059.544464,1332560000000000.0,374.7864063,1.09e-10,1.323126137,2.297791266,247.818634
9022.680331,8400.878261,473059000000000.0,316.3744141,4.5e-11,1.420829991,2.467467502,238.356369
9912.586624,9444.150323,497872000000000.0,277.5941797,5.33e-11,1.491320968,2.589884817,230.1044312
10774.56869,10333.13954,697392000000000.0,242.7780664,8.24e-11,1.54841735,2.68904057,222.6067047
11356.54424,11060.74072,948932000000000.0,221.6187305,1.23e-10,1.583853344,2.750580068,217.7122192
12248.35217,11788.22193,825012000000000.0,192.7417578,1.19e-10,1.599968612,2.778566456,216.3710022
