Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
68.91315723,36.53993809,9080520000000000.0,1015.558047,3.56e-10,0.137193974,0.220723456,289.3323364
233.155398,150.2727345,6202810000000000.0,996.5739844,2.45e-10,0.166505236,0.267880652,288.2027283
480.5975875,357.0766847,4850660000000000.0,967.6876563,1.95e-10,0.189476069,0.304837097,286.2409973
856.2847506,674.0570944,3521080000000000.0,925.0689844,1.46e-10,0.286042176,0.460196726,283.6946106
1418.501275,1144.583051,1756090000000000.0,864.9697656,7.72e-11,0.643161461,1.034745305,285.083374
2037.734919,1731.813387,671050000000000.0,802.8866406,3.15e-11,0.691622257,1.11271108,283.8629761
3058.814279,2532.635423,677550000000000.0,709.2774219,3.46e-11,0.754206464,1.213399193,280.0611877
4064.135391,3536.23659,574956000000000.0,625.9545703,3.26e-11,0.82679987,1.330190528,273.9766541
5201.5245,4590.930073,391405000000000.0,541.4036328,2.48e-11,0.894519404,1.439140573,267.7003784
6412.855482,5731.881157,274786000000000.0,462.3394922,1.97e-11,0.95858857,1.542217753,261.0769348
7934.222202,7059.544464,240159000000000.0,376.5033594,1.99e-11,1.027906805,1.653739855,251.9100647
9140.056931,8400.878261,295930000000000.0,317.5078125,2.84e-11,1.093901783,1.759915361,241.0132446
10041.76876,9444.150323,481723000000000.0,278.3866016,5.18e-11,1.141056836,1.835780399,232.1027069
10917.68573,10333.13954,610602000000000.0,243.3043359,7.27e-11,1.175711602,1.89153445,224.8196259
11513.53325,11060.74072,761464000000000.0,222.0052539,9.99e-11,1.194447666,1.921677822,221.0427399
12435.68658,11788.22193,739512000000000.0,192.9690039,1.09e-10,1.196385175,1.924794967,221.8696136
