Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
65.10645834,36.53993809,3.48e+16,1001.574453,1.4e-09,0.278796047,0.559871928,292.8840027
225.7257137,150.2727345,2.53e+16,982.9071094,1.03e-09,0.29792676,0.598289795,292.6319885
476.5187307,357.0766847,8480450000000000.0,954.5513281,3.52e-10,0.358204385,0.719337959,291.6320496
858.3923485,674.0570944,4067900000000000.0,912.7496094,1.74e-10,0.405018955,0.813349924,289.5441589
1422.311059,1144.583051,1893030000000000.0,853.8234375,8.48e-11,0.468041407,0.939910187,286.7205505
2039.717854,1731.813387,947462000000000.0,792.9532031,4.51e-11,0.539773915,1.08396179,283.7214966
3046.359965,2532.635423,564176000000000.0,701.1480469,2.91e-11,0.628060712,1.261257344,278.6546631
4046.2728,3536.23659,559781000000000.0,619.3855469,3.2e-11,0.725403329,1.45673859,273.4390259
5177.295454,4590.930073,579459000000000.0,536.3534766,3.71e-11,0.816121485,1.638916744,267.9492493
6373.518471,5731.881157,668358000000000.0,458.6286719,4.83e-11,0.904276179,1.81594701,260.6279907
7876.491248,7059.544464,579805000000000.0,374.1222656,4.82e-11,0.998356713,2.004877415,250.6011505
9068.187708,8400.878261,772344000000000.0,315.9359766,7.43e-11,1.162094275,2.33369149,240.3446503
9963.457726,9444.150323,440281000000000.0,277.2876563,4.76e-11,1.248801443,2.507814868,232.2113953
10831.38781,10333.13954,445973000000000.0,242.5745117,5.34e-11,1.335777111,2.68247744,225.3307495
11415.4334,11060.74072,615113000000000.0,221.4692188,8.03e-11,1.370751195,2.752711608,219.3747101
12309.81527,11788.22193,615933000000000.0,192.6538672,8.85e-11,1.395998663,2.803413003,215.611145
