profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21133_3,25,53.38657403,4.647530597,7.24e+16,0.722016028,-4.876060872,08.09.2021 12:44,08.09.2021 12:59
21133_3,75,53.38067,4.65796,3.16e+16,0.462416301,-5.227871734,08.09.2021 12:44,08.09.2021 12:59
21133_3,125,53.38738,4.676864231,8580000000000000.0,2.977376751,-5.311504844,08.09.2021 12:44,08.09.2021 12:59
21133_3,175,53.39409909,4.699622121,4.74e+16,3.728104118,-5.559566991,08.09.2021 12:44,08.09.2021 12:59
21133_3,225,53.39967045,4.720515,1.98e+16,3.817510578,-5.505082842,08.09.2021 12:44,08.09.2021 12:59
21133_3,275,53.41007364,4.728146364,3.74e+16,4.791264548,-5.254742549,08.09.2021 12:44,08.09.2021 12:59
21133_3,325,53.40633303,4.711385152,4.37e+16,4.772813211,-7.8165237,08.09.2021 12:44,08.09.2021 12:59
21133_3,375,53.3960319,4.718648571,2.97e+16,3.501184934,-5.883093446,08.09.2021 12:44,08.09.2021 12:59
21133_3,425,53.400468,4.7327392,-4880000000000000.0,4.326580611,-4.344460642,08.09.2021 12:44,08.09.2021 12:59
21133_3,475,53.40974538,4.745069615,-7390000000000000.0,5.824546622,-4.413794621,08.09.2021 12:44,08.09.2021 12:59
21133_3,525,53.41771955,4.731789091,-1.91e+16,6.769315594,-5.145289946,08.09.2021 12:44,08.09.2021 12:59
21133_3,575,53.40906458,4.7257975,2.62e+16,4.124942068,-6.123494119,08.09.2021 12:44,08.09.2021 12:59
21133_3,625,53.40573697,4.743767879,-6130000000000000.0,2.908222577,-2.335490909,08.09.2021 12:44,08.09.2021 12:59
21133_3,675,53.41454476,4.746910952,-1.47e+16,5.570544237,-2.113768266,08.09.2021 12:44,08.09.2021 12:59
21133_3,725,53.40915,4.740883871,1.9e+16,5.417558226,-4.700847255,08.09.2021 12:44,08.09.2021 12:59
21133_3,775,53.41026875,4.757045833,1.31e+16,5.277249481,-1.680539013,08.09.2021 12:44,08.09.2021 12:59
21133_3,825,53.41547216,4.750848649,-2470000000000000.0,7.298452945,-4.017947486,08.09.2021 12:44,08.09.2021 12:59
21133_3,875,53.4101024,4.75903,5770000000000000.0,4.078988892,-3.807443096,08.09.2021 12:44,08.09.2021 12:59
21133_3,925,53.41668032,4.757464194,1.73e+16,7.097678905,-3.542746096,08.09.2021 12:44,08.09.2021 12:59
21133_3,975,53.41146885,4.757633846,1.86e+16,4.637056677,-5.300755508,08.09.2021 12:44,08.09.2021 12:59
21133_3,1025,53.41380357,4.774921429,-2.27e+16,5.394462562,-1.441115582,08.09.2021 12:44,08.09.2021 12:59
21133_3,1075,53.42069895,4.771107105,1550000000000000.0,7.294690975,-3.790128593,08.09.2021 12:44,08.09.2021 12:59
21133_3,1125,53.414303,4.774028,7770000000000000.0,4.067873771,-6.182932721,08.09.2021 12:44,08.09.2021 12:59
21133_3,1175,53.42066953,4.77781814,-729000000000000.0,6.111989376,-3.003296698,08.09.2021 12:44,08.09.2021 12:59
21133_3,1225,53.416168,4.770143333,-3630000000000000.0,5.429087895,-7.085769718,08.09.2021 12:44,08.09.2021 12:59
21133_3,1275,53.41713773,4.782007273,-3.36e+16,3.327789383,-2.906888602,08.09.2021 12:44,08.09.2021 12:59
21133_3,1325,53.42593708,4.789594583,-2.01e+16,5.624222787,-1.746161935,08.09.2021 12:44,08.09.2021 12:59
21133_3,1375,53.4281948,4.7749064,8130000000000000.0,7.3097353,-5.512030806,08.09.2021 12:44,08.09.2021 12:59
21133_3,1425,,,,,,08.09.2021 12:44,08.09.2021 12:59
21133_3,1475,,,,,,08.09.2021 12:44,08.09.2021 12:59
