Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
71.8484124,36.53993809,1.9e+17,1007.765234,7.56e-09,0.23142609,0.482136678,291.7064819
238.3731185,150.2727345,1.24e+17,988.9576563,5.04e-09,0.348100103,0.72520703,292.6119995
492.1667068,357.0766847,1.3e+16,960.3669531,5.4e-10,0.393509917,0.81981061,293.4024658
877.4639721,674.0570944,4407650000000000.0,918.2035938,1.89e-10,0.457524046,0.9531731,291.6407166
1445.166917,1144.583051,1910450000000000.0,858.758125,8.57e-11,0.545829549,1.137142513,288.8042908
2065.778958,1731.813387,804976000000000.0,797.3509375,3.82e-11,0.670308918,1.396473987,284.8138428
3082.750473,2532.635423,694783000000000.0,704.7470313,3.58e-11,0.858400777,1.788331206,280.6060791
4096.734318,3536.23659,971419000000000.0,622.29375,5.59e-11,1.005613729,2.095024215,276.7149658
5242.942264,4590.930073,912610000000000.0,538.5892578,5.89e-11,1.136011779,2.36668625,271.1365051
6456.547369,5731.881157,755501000000000.0,460.2715234,5.5e-11,1.268783152,2.643292697,263.3852234
7985.407789,7059.544464,505110000000000.0,375.1764063,4.24e-11,1.404421568,2.925872138,253.8349762
9195.911329,8400.878261,450747000000000.0,316.631875,4.37e-11,1.532646745,3.193007365,242.84552
10101.03177,9444.150323,547600000000000.0,277.7741797,5.95e-11,1.623086423,3.381422965,234.0527954
10977.57155,10333.13954,602470000000000.0,242.8976172,7.23e-11,1.695486993,3.53225717,226.1437531
11567.85884,11060.74072,614182000000000.0,221.7065234,8.05e-11,1.747287512,3.640174692,220.4318237
12458.95513,11788.22193,288313000000000.0,192.7933789,4.14e-11,1.792024016,3.733375548,215.4338531
13353.32896,,179122000000000.0,167.0736719,2.89e-11,1.835837722,3.82465391,210.5379639
14264.1421,,183606000000000.0,144.275625,3.44e-11,1.84251678,3.838568585,211.0962982
