profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21082_2,25,51.881086,2.737146,2.31e+17,-0.899821351,-8.150479835,02.06.2021 11:36,02.06.2023 11:50
21082_2,75,51.89621328,2.754501045,1.34e+17,-0.66141742,-7.084576087,02.06.2021 11:36,02.06.2023 11:50
21082_2,125,51.88913086,2.704364,3.38e+16,1.192329822,-6.277380537,02.06.2021 11:36,02.06.2023 11:50
21082_2,175,51.89934714,2.714411429,2.38e+16,2.571958538,-5.17927254,02.06.2021 11:36,02.06.2023 11:50
21082_2,225,51.90062182,2.729288636,1.52e+16,2.435795107,-5.238826136,02.06.2021 11:36,02.06.2023 11:50
21082_2,275,51.89481565,2.739068696,3.32e+16,3.334904867,-5.157177058,02.06.2021 11:36,02.06.2023 11:50
21082_2,325,51.88622074,2.730436667,2.39e+16,2.643258384,-5.725451339,02.06.2021 11:36,02.06.2023 11:50
21082_2,375,51.89318774,2.716255161,1.63e+16,3.568305881,-7.251950401,02.06.2021 11:36,02.06.2023 11:50
21082_2,425,51.903371,2.723291,3.35e+16,4.320538919,-5.48642311,02.06.2021 11:36,02.06.2023 11:50
21082_2,475,51.90755227,2.737867727,8330000000000000.0,3.582188759,-4.614335568,02.06.2021 11:36,02.06.2023 11:50
21082_2,525,51.90328481,2.749037778,3.62e+16,3.301656946,-4.574688083,02.06.2021 11:36,02.06.2023 11:50
21082_2,575,51.89513632,2.745257895,-4.99e+16,2.610425979,-5.214772399,02.06.2021 11:36,02.06.2023 11:50
21082_2,625,51.8938885,2.7286915,1.98e+16,3.532842627,-6.738413898,02.06.2021 11:36,02.06.2023 11:50
21082_2,675,51.90246478,2.719351739,2.77e+16,5.050318138,-6.387845989,02.06.2021 11:36,02.06.2023 11:50
21082_2,725,51.9122455,2.7246735,2.42e+16,4.70266648,-4.471642617,02.06.2021 11:36,02.06.2023 11:50
21082_2,775,51.91774045,2.738808636,3.55e+16,3.381479616,-3.825889157,02.06.2021 11:36,02.06.2023 11:50
21082_2,825,51.915807,2.7515105,1460000000000000.0,3.036318237,-4.516927258,02.06.2021 11:36,02.06.2023 11:50
21082_2,875,51.90932333,2.756375556,-1.19e+16,3.456429958,-5.111164265,02.06.2021 11:36,02.06.2023 11:50
21082_2,925,51.90095833,2.748121667,1.1e+16,3.163232408,-5.95266701,02.06.2021 11:36,02.06.2023 11:50
21082_2,975,51.90138783,2.730594348,4.26e+16,4.281854676,-6.995684971,02.06.2021 11:36,02.06.2023 11:50
21082_2,1025,51.9105287,2.721248696,4.41e+16,5.753457785,-6.379146728,02.06.2021 11:36,02.06.2023 11:50
21082_2,1075,51.92026053,2.728631579,1.41e+16,5.514585314,-4.618046591,02.06.2021 11:36,02.06.2023 11:50
21082_2,1125,51.92043208,2.740852083,3.05e+16,4.057825623,-4.163696861,02.06.2021 11:36,02.06.2023 11:50
21082_2,1175,51.9141181,2.747642381,2.84e+16,3.588125634,-4.485317463,02.06.2021 11:36,02.06.2023 11:50
21082_2,1225,51.91093059,2.733831765,4.02e+16,3.810395053,-6.48869603,02.06.2021 11:36,02.06.2023 11:50
21082_2,1275,51.918802,2.7246524,-882000000000000.0,6.325574548,-7.420375296,02.06.2021 11:36,02.06.2023 11:50
21082_2,1325,51.92872545,2.729759091,1.31e+16,6.990591093,-5.682170605,02.06.2021 11:36,02.06.2023 11:50
21082_2,1375,51.93461619,2.74184,2.64e+16,6.233751924,-4.960468352,02.06.2021 11:36,02.06.2023 11:50
21082_2,1425,51.934925,2.755088333,1.69e+16,6.839016319,-4.460449825,02.06.2021 11:36,02.06.2023 11:50
21082_2,1475,51.9292425,2.7632225,-2.58e+16,6.559905685,-3.703071134,02.06.2021 11:36,02.06.2023 11:50
