profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21133_2,25,53.38448939,3.653941069,1.3e+17,3.32611788,-6.78490118,08.09.2021 11:51,08.09.2021 12:12
21133_2,75,53.38444906,3.645971321,6.24e+16,4.201103562,-7.750902541,08.09.2021 11:51,08.09.2021 12:12
21133_2,125,53.382335,3.636577778,1.17e+16,4.868057123,-6.8256701,08.09.2021 11:51,08.09.2021 12:12
21133_2,175,53.39140941,3.660408529,-4.04e+16,7.190589568,-7.312374299,08.09.2021 11:51,08.09.2021 12:12
21133_2,225,53.40375742,3.673050968,-2.25e+16,7.659715486,-5.73861518,08.09.2021 11:51,08.09.2021 12:12
21133_2,275,53.40604698,3.656357209,-2.36e+16,7.205786017,-7.217157828,08.09.2021 11:51,08.09.2021 12:12
21133_2,325,53.401452,3.67286875,-1.13e+16,5.003341258,-3.954627223,08.09.2021 11:51,08.09.2021 12:12
21133_2,375,53.41238545,3.667075227,9830000000000000.0,7.736758382,-4.189956385,08.09.2021 11:51,08.09.2021 12:12
21133_2,425,53.40524379,3.671663793,2.55e+16,4.572509416,-4.890946977,08.09.2021 11:51,08.09.2021 12:12
21133_2,475,53.41559833,3.67777,-8410000000000000.0,5.578428966,-1.339564082,08.09.2021 11:51,08.09.2021 12:12
21133_2,525,53.41118326,3.671135814,1.85e+16,5.181576945,-4.351453746,08.09.2021 11:51,08.09.2021 12:12
21133_2,575,53.4179475,3.680171136,6860000000000000.0,5.368371529,-1.740824792,08.09.2021 11:51,08.09.2021 12:12
21133_2,625,53.41321,3.675204231,2020000000000000.0,4.420600665,-5.661387122,08.09.2021 11:51,08.09.2021 12:12
21133_2,675,53.42117293,3.68709,3400000000000000.0,5.055998834,-2.325265375,08.09.2021 11:51,08.09.2021 12:12
21133_2,725,53.41933969,3.671841562,-3.24e+16,5.580296572,-5.924001145,08.09.2021 11:51,08.09.2021 12:12
21133_2,775,53.42036746,3.68465339,1.97e+16,4.568075253,-3.521674965,08.09.2021 11:51,08.09.2021 12:12
21133_2,825,53.42069034,3.676733448,3.24e+16,5.422200582,-6.528100162,08.09.2021 11:51,08.09.2021 12:12
21133_2,875,53.42661592,3.688596122,2.76e+16,5.192690365,-3.665025245,08.09.2021 11:51,08.09.2021 12:12
21133_2,925,53.42530556,3.680968889,3.12e+16,4.968054003,-7.285203692,08.09.2021 11:51,08.09.2021 12:12
21133_2,975,53.43321778,3.690872667,4400000000000000.0,6.054287348,-3.93535744,08.09.2021 11:51,08.09.2021 12:12
21133_2,1025,53.43079957,3.680112609,-1.23e+16,5.253788034,-8.044125889,08.09.2021 11:51,08.09.2021 12:12
21133_2,1075,53.43527167,3.695244167,7690000000000000.0,4.040033807,-3.601256122,08.09.2021 11:51,08.09.2021 12:12
21133_2,1125,53.44093154,3.686931538,-1.53e+16,7.108433634,-4.919674034,08.09.2021 11:51,08.09.2021 12:12
21133_2,1175,53.43159844,3.686220313,-6110000000000000.0,2.722292253,-6.511821717,08.09.2021 11:51,08.09.2021 12:12
21133_2,1225,53.4359516,3.7006096,3.01e+16,3.707917321,-3.775807566,08.09.2021 11:51,08.09.2021 12:12
21133_2,1275,53.44391792,3.690675833,4.27e+16,5.900722967,-5.416631633,08.09.2021 11:51,08.09.2021 12:12
21133_2,1325,53.43666829,3.689686857,2.29e+16,2.571604773,-7.480273426,08.09.2021 11:51,08.09.2021 12:12
21133_2,1375,53.44190407,3.703601852,-2.17e+16,3.385700644,-3.961717745,08.09.2021 11:51,08.09.2021 12:12
21133_2,1425,53.45626855,3.721091316,1.18e+16,4.486222163,-6.077935329,08.09.2021 11:51,08.09.2021 12:12
21133_2,1475,,,,,,08.09.2021 11:51,08.09.2021 12:12
