Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
73.30277417,36.53993809,2.08e+17,1005.474766,8.28e-09,0.314371765,0.542803861,291.8405151
236.3750302,150.2727345,1.09e+17,986.7190625,4.43e-09,0.42509451,0.733981125,293.8109741
488.2753962,357.0766847,1.49e+16,958.2153125,6.19e-10,0.470420937,0.812243114,293.5897827
870.5703963,674.0570944,4302000000000000.0,916.1857031,1.84e-10,0.532146891,0.918821026,291.0410156
1432.297944,1144.583051,2687230000000000.0,856.9323438,1.2e-10,0.615275969,1.062354223,287.5426025
2045.726715,1731.813387,1645640000000000.0,795.7238281,7.79e-11,0.70940117,1.224873662,283.2009888
3052.619537,2532.635423,1411360000000000.0,703.4154688,7.22e-11,0.826910973,1.427769665,277.6429443
4047.323072,3536.23659,924541000000000.0,621.2177734,5.24e-11,0.949895034,1.64011769,272.1268921
5166.039562,4590.930073,908881000000000.0,537.7620703,5.73e-11,1.070606629,1.848542005,264.6384583
6342.850548,5731.881157,1273980000000000.0,459.6636719,9.05e-11,1.185008128,2.046071118,256.5756836
7828.249207,7059.544464,1332560000000000.0,374.7864063,1.09e-10,1.298432549,2.241913176,247.8186493
9011.956875,8400.878261,473059000000000.0,316.3744141,4.5e-11,1.397996922,2.413824055,238.3563538
9901.076631,9444.150323,497872000000000.0,277.5941797,5.33e-11,1.470041037,2.538217616,230.1044464
10763.80801,10333.13954,697392000000000.0,242.7780664,8.24e-11,1.527668297,2.637718599,222.6067047
11346.6552,11060.74072,948932000000000.0,221.6187305,1.23e-10,1.564919849,2.702038263,217.7122192
12238.98098,11788.22193,825012000000000.0,192.7417578,1.19e-10,1.582033833,2.731587788,216.3710175
