profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21117_2,25,52.90974719,4.283242807,3e+17,-4.20552665,-0.849125861,22.07.2021 13:36,22.07.2021 13:54
21117_2,75,52.91161462,4.297868462,2.06e+16,-3.844814807,0.345775411,22.07.2021 13:36,22.07.2021 13:54
21117_2,125,52.93872824,4.302878378,1.78e+16,-3.007216692,-0.14345412,22.07.2021 13:36,22.07.2021 13:54
21117_2,175,52.94689528,4.281086667,1.98e+16,-2.907000273,-2.088155548,22.07.2021 13:36,22.07.2021 13:54
21117_2,225,52.93364114,4.285687143,2.74e+16,-6.867997197,-0.904247453,22.07.2021 13:36,22.07.2021 13:54
21117_2,275,52.93845344,4.3043025,8400000000000000.0,-3.375734914,1.935968697,22.07.2021 13:36,22.07.2021 13:54
21117_2,325,52.9505327,4.314059189,-1.15e+16,-2.022104168,0.67948988,22.07.2021 13:36,22.07.2021 13:54
21117_2,375,52.9614364,4.317648,1.11e+16,-1.725442482,-0.017911837,22.07.2021 13:36,22.07.2021 13:54
21117_2,425,52.967651,4.310127667,1.32e+16,-0.885716959,-1.468413691,22.07.2021 13:36,22.07.2021 13:54
21117_2,475,52.95910222,4.303730556,2.17e+16,-5.753837137,-1.941278027,22.07.2021 13:36,22.07.2021 13:54
21117_2,525,52.95931937,4.321666875,1.09e+16,-4.471925556,3.019467414,22.07.2021 13:36,22.07.2021 13:54
21117_2,575,52.96912129,4.329568065,2.84e+16,-1.396648959,1.509143202,22.07.2021 13:36,22.07.2021 13:54
21117_2,625,52.97838786,4.320977857,2.47e+16,-0.954894332,-0.842496444,22.07.2021 13:36,22.07.2021 13:54
21117_2,675,52.97042179,4.314115128,3.08e+16,-6.262591188,-1.734385832,22.07.2021 13:36,22.07.2021 13:54
21117_2,725,52.96571931,4.33247069,4370000000000000.0,-5.926949222,3.826196248,22.07.2021 13:36,22.07.2021 13:54
21117_2,775,52.97236231,4.344476923,-1.01e+16,-2.888083672,1.751270887,22.07.2021 13:36,22.07.2021 13:54
21117_2,825,52.98162091,4.348190455,1.51e+16,-2.857963354,-0.096320568,22.07.2021 13:36,22.07.2021 13:54
21117_2,875,52.9906388,4.342858,6070000000000000.0,-3.338230627,-1.463360397,22.07.2021 13:36,22.07.2021 13:54
21117_2,925,52.99215417,4.329068333,1370000000000000.0,-3.091848312,-4.408610273,22.07.2021 13:36,22.07.2021 13:54
21117_2,975,52.98379488,4.334358605,-1.27e+16,-7.271983874,-1.523434225,22.07.2021 13:36,22.07.2021 13:54
21117_2,1025,52.98803667,4.351308333,-5670000000000000.0,-3.933355018,1.833277922,22.07.2021 13:36,22.07.2021 13:54
21117_2,1075,52.99597154,4.358148077,2.99e+16,-2.631114172,-0.200721405,22.07.2021 13:36,22.07.2021 13:54
21117_2,1125,53.00467957,4.355743478,-3990000000000000.0,-1.895835718,-1.72009292,22.07.2021 13:36,22.07.2021 13:54
21117_2,1175,53.00803889,4.342366296,-2.45e+16,-2.223168297,-2.813263588,22.07.2021 13:36,22.07.2021 13:54
21117_2,1225,52.99906375,4.33811,7280000000000000.0,-8.066088689,-3.009115385,22.07.2021 13:36,22.07.2021 13:54
21117_2,1275,52.99460607,4.3567975,-709000000000000.0,-8.13463465,2.902644954,22.07.2021 13:36,22.07.2021 13:54
21117_2,1325,52.99869276,4.372076897,5550000000000000.0,-4.997949074,1.243169504,22.07.2021 13:36,22.07.2021 13:54
21117_2,1375,53.00746107,4.377500357,-9850000000000000.0,-3.951853052,-0.045147522,22.07.2021 13:36,22.07.2021 13:54
21117_2,1425,53.01697743,4.371919429,-2.22e+16,-3.043950901,-1.751879171,22.07.2021 13:36,22.07.2021 13:54
21117_2,1475,,,,,,22.07.2021 13:36,22.07.2021 13:54
