Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
69.33446645,36.53993809,8364800000000000.0,1015.142344,3.28e-10,0.16677529,0.280385405,289.5427246
233.919066,150.2727345,5396400000000000.0,996.1676563,2.14e-10,0.205433447,0.345378145,288.4260864
481.2973648,357.0766847,3777760000000000.0,967.2971094,1.52e-10,0.247324673,0.415806375,286.4689941
857.3512767,674.0570944,2516480000000000.0,924.7027344,1.05e-10,0.335875973,0.5646803,284.6243591
1418.866675,1144.583051,864960000000000.0,864.6384375,3.81e-11,0.445065804,0.748252068,285.5422974
2039.405099,1731.813387,482184000000000.0,802.5913281,2.27e-11,0.508277304,0.8545243,284.2107239
3060.652149,2532.635423,555830000000000.0,709.0357813,2.84e-11,0.592301354,0.995786936,280.0653687
4067.233697,3536.23659,519405000000000.0,625.7592969,2.95e-11,0.689171225,1.158646182,274.132019
5205.058209,4590.930073,373971000000000.0,541.2535156,2.37e-11,0.773255698,1.300010404,267.7875977
6415.68594,5731.881157,275820000000000.0,462.2291797,1.98e-11,0.853115067,1.434271309,261.1184998
7938.555772,7059.544464,220540000000000.0,376.4325781,1.83e-11,0.936470114,1.574409207,252.1358337
9145.464513,8400.878261,279169000000000.0,317.4610938,2.68e-11,1.015261009,1.706873778,241.1997681
10046.9829,9444.150323,442233000000000.0,278.3539258,4.76e-11,1.071501151,1.801425644,232.1577911
10921.1082,10333.13954,564073000000000.0,243.2826367,6.71e-11,1.113207832,1.871543613,224.7004395
11513.83163,11060.74072,697614000000000.0,221.9893164,9.13e-11,1.138618305,1.914264126,220.608902
12432.04741,11788.22193,773218000000000.0,192.9596289,1.14e-10,1.145113438,1.925183852,221.3216248
