profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21117_1,25,53.22287837,4.455731346,1.19e+17,-3.3307952,2.548906143,22.07.2021 13:00,22.07.2021 13:19
21117_1,75,53.21640787,4.434228764,1.32e+16,-2.844300104,-1.912080601,22.07.2021 13:00,22.07.2021 13:19
21117_1,125,53.19987885,4.432955577,-7820000000000000.0,-5.353076586,1.342828203,22.07.2021 13:00,22.07.2021 13:19
21117_1,175,53.2085925,4.426118333,7.61e+16,-0.774088487,-0.87683175,22.07.2021 13:00,22.07.2021 13:19
21117_1,225,53.19954415,4.409642195,1.97e+16,-5.545072655,-3.465977586,22.07.2021 13:00,22.07.2021 13:19
21117_1,275,53.18716,4.413827742,4.68e+16,-8.011690429,0.301022381,22.07.2021 13:00,22.07.2021 13:19
21117_1,325,53.190361,4.42832875,-1820000000000000.0,-3.617445218,3.195113283,22.07.2021 13:00,22.07.2021 13:19
21117_1,375,53.19872774,4.419890645,-5430000000000000.0,-0.816843025,-1.506067594,22.07.2021 13:00,22.07.2021 13:19
21117_1,425,53.19257939,4.403004848,2.07e+16,-4.453533237,-4.155438376,22.07.2021 13:00,22.07.2021 13:19
21117_1,475,53.18142696,4.400016957,4.88e+16,-7.664241006,-1.841272963,22.07.2021 13:00,22.07.2021 13:19
21117_1,525,53.17660853,4.413648235,2.34e+16,-7.060261436,2.741212326,22.07.2021 13:00,22.07.2021 13:19
21117_1,575,53.18319926,4.416980741,-1.17e+16,-2.003541424,2.148050244,22.07.2021 13:00,22.07.2021 13:19
21117_1,625,53.1823692,4.4019744,1.22e+16,-2.409549201,-2.938174209,22.07.2021 13:00,22.07.2021 13:19
21117_1,675,53.17347846,4.394712308,5.83e+16,-6.787355507,-2.686872632,22.07.2021 13:00,22.07.2021 13:19
21117_1,725,53.16788444,4.407625556,2.14e+16,-8.037789923,2.681914757,22.07.2021 13:00,22.07.2021 13:19
21117_1,775,53.17383926,4.416592593,-1.51e+16,-4.259021539,3.131278159,22.07.2021 13:00,22.07.2021 13:19
21117_1,825,53.17973448,4.40428931,-3.25e+16,-2.698531491,-1.844533313,22.07.2021 13:00,22.07.2021 13:19
21117_1,875,53.173975,4.386685625,-4.23e+16,-5.448263666,-4.354010956,22.07.2021 13:00,22.07.2021 13:19
21117_1,925,53.16248444,4.382037778,-1.77e+16,-9.067667491,-3.599069987,22.07.2021 13:00,22.07.2021 13:19
21117_1,975,53.15772697,4.397553333,3330000000000000.0,-8.622063782,1.144926868,22.07.2021 13:00,22.07.2021 13:19
21117_1,1025,53.16592103,4.409864138,-9840000000000000.0,-2.60831713,1.516543609,22.07.2021 13:00,22.07.2021 13:19
21117_1,1075,53.17416917,4.400242083,-2.72e+16,-1.377066315,-1.356247717,22.07.2021 13:00,22.07.2021 13:19
21117_1,1125,53.17302069,4.379291379,-1.23e+16,-3.959177065,-4.332086309,22.07.2021 13:00,22.07.2021 13:19
21117_1,1175,53.16247914,4.362875429,1.43e+16,-7.223607996,-4.790149754,22.07.2021 13:00,22.07.2021 13:19
21117_1,1225,53.14962433,4.369094667,363000000000000.0,-9.501324002,1.055711087,22.07.2021 13:00,22.07.2021 13:19
21117_1,1275,53.1507148,4.3839188,4960000000000000.0,-7.09838381,3.795202951,22.07.2021 13:00,22.07.2021 13:19
21117_1,1325,53.158455,4.384403333,6170000000000000.0,-4.209843733,0.270736305,22.07.2021 13:00,22.07.2021 13:19
21117_1,1375,53.16272781,4.368506563,4510000000000000.0,-4.760681747,-3.61935543,22.07.2021 13:00,22.07.2021 13:19
21117_1,1425,53.15814474,4.34831,4650000000000000.0,-6.618826094,-5.030466395,22.07.2021 13:00,22.07.2021 13:19
21117_1,1475,,,,,,22.07.2021 13:00,22.07.2021 13:19
