Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
66.97999323,36.53993809,1.46e+17,1008.207109,5.79e-09,0.189739445,0.435313188,291.1662598
239.7220269,150.2727345,8.24e+16,989.3895313,3.33e-09,0.28125694,0.645278872,292.354187
493.3538116,357.0766847,9861030000000000.0,960.7821094,4.09e-10,0.324793275,0.745162904,293.1418457
877.9897122,674.0570944,4142850000000000.0,918.5928906,1.77e-10,0.385180715,0.883707892,291.4321899
1445.262976,1144.583051,1723800000000000.0,859.1103125,7.73e-11,0.468566913,1.075018199,288.8614502
2065.561421,1731.813387,563684000000000.0,797.6648438,2.67e-11,0.564202949,1.294432921,284.7157898
3082.575566,2532.635423,276197000000000.0,705.0039063,1.42e-11,0.678264856,1.556121535,280.5452881
4095.76739,3536.23659,686754000000000.0,622.5013672,3.95e-11,0.803891264,1.844342215,276.4667358
5242.118311,4590.930073,915143000000000.0,538.7488672,5.89e-11,0.924964637,2.122117011,270.9047546
6456.203892,5731.881157,740672000000000.0,460.3887891,5.39e-11,1.047237486,2.402643729,263.2950439
7984.921315,7059.544464,485657000000000.0,375.2516406,4.07e-11,1.170282409,2.68494179,253.8273926
9195.630618,8400.878261,481589000000000.0,316.681543,4.67e-11,1.286706775,2.95205052,242.865387
10100.97352,9444.150323,560138000000000.0,277.8089063,6.09e-11,1.369166985,3.141236363,234.0835419
10977.73222,10333.13954,589356000000000.0,242.9206836,7.07e-11,1.434707254,3.291603322,226.1258698
11568.24341,11060.74072,593403000000000.0,221.7234766,7.77e-11,1.482067242,3.40025984,220.3943024
12459.95612,11788.22193,292275000000000.0,192.8033398,4.19e-11,1.521455154,3.490626275,215.3708954
13353.80967,,179462000000000.0,167.0789258,2.9e-11,1.55967021,3.578301865,210.4149323
14264.63365,,186340000000000.0,144.2780273,3.49e-11,1.570305035,3.602701006,211.1159515
