profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21135_1,25,51.7240925,2.34291,3.43e+17,7.259511621,4.323512753,09.09.2021 15:56,09.09.2021 16:10
21135_1,75,51.71885781,2.336937945,1.96e+17,6.980695548,4.660920703,09.09.2021 15:56,09.09.2021 16:10
21135_1,125,51.6977429,2.32187,4210000000000000.0,7.474678406,5.210103497,09.09.2021 15:56,09.09.2021 16:10
21135_1,175,51.70052222,2.338986667,-3960000000000000.0,7.013287628,6.916809894,09.09.2021 15:56,09.09.2021 16:10
21135_1,225,51.710235,2.329919615,4.33e+16,10.42911114,6.46753637,09.09.2021 15:56,09.09.2021 16:10
21135_1,275,51.70728267,2.313166333,-2920000000000000.0,10.25353641,3.86596084,09.09.2021 15:56,09.09.2021 16:10
21135_1,325,51.6978229,2.319566774,-1.88e+16,7.726341036,5.687715967,09.09.2021 15:56,09.09.2021 16:10
21135_1,375,51.70455739,2.332927826,-2.58e+16,7.756385294,7.435164916,09.09.2021 15:56,09.09.2021 16:10
21135_1,425,51.71071136,2.321010455,-7020000000000000.0,10.69741709,5.609414895,09.09.2021 15:56,09.09.2021 16:10
21135_1,475,51.70844964,2.306137857,-1.88e+16,9.77252131,3.260806302,09.09.2021 15:56,09.09.2021 16:10
21135_1,525,51.69901556,2.299562222,-1.69e+16,7.021117575,3.740206832,09.09.2021 15:56,09.09.2021 16:10
21135_1,575,51.69256167,2.31280875,-1.45e+16,6.552124917,5.796481073,09.09.2021 15:56,09.09.2021 16:10
21135_1,625,51.69749895,2.327466842,1.84e+16,7.523316487,6.833586393,09.09.2021 15:56,09.09.2021 16:10
21135_1,675,51.70795517,2.321654828,2760000000000000.0,10.62474381,5.806127369,09.09.2021 15:56,09.09.2021 16:10
21135_1,725,51.709541,2.305406,-4610000000000000.0,10.416473,4.040483178,09.09.2021 15:56,09.09.2021 16:10
21135_1,775,51.70126933,2.298892667,-1.77e+16,9.142335881,3.601950106,09.09.2021 15:56,09.09.2021 16:10
21135_1,825,51.69302519,2.314622963,1.42e+16,10.01542126,6.503791113,09.09.2021 15:56,09.09.2021 16:10
21135_1,875,51.7027456,2.3235552,3.99e+16,11.51562051,7.90556988,09.09.2021 15:56,09.09.2021 16:10
21135_1,925,51.70985391,2.30792,4.06e+16,13.94393432,5.283442268,09.09.2021 15:56,09.09.2021 16:10
21135_1,975,51.70531219,2.293431563,2.61e+16,12.84749186,2.753335377,09.09.2021 15:56,09.09.2021 16:10
21135_1,1025,51.69522522,2.293944783,2.68e+16,10.66276466,4.418098634,09.09.2021 15:56,09.09.2021 16:10
21135_1,1075,51.696495,2.310541765,3.34e+16,11.00742178,6.53853016,09.09.2021 15:56,09.09.2021 16:10
21135_1,1125,51.70599917,2.304301667,1390000000000000.0,14.09374357,4.916651465,09.09.2021 15:56,09.09.2021 16:10
21135_1,1175,51.70020414,2.291510345,4.14e+16,11.56186638,3.161589452,09.09.2021 15:56,09.09.2021 16:10
21135_1,1225,51.69209308,2.296911923,7430000000000000.0,8.277390297,5.480623408,09.09.2021 15:56,09.09.2021 16:10
21135_1,1275,51.69780731,2.312845,3110000000000000.0,9.832575112,8.230441422,09.09.2021 15:56,09.09.2021 16:10
21135_1,1325,51.70639526,2.306018421,-1.16e+16,13.53469293,7.085858038,09.09.2021 15:56,09.09.2021 16:10
21135_1,1375,51.69877426,2.290307593,1.96e+16,12.29117228,4.828014855,09.09.2021 15:56,09.09.2021 16:10
21135_1,1425,51.68724,2.28533,4.69e+16,10.55419834,6.3165574,09.09.2021 15:56,09.09.2021 16:10
21135_1,1475,,,,,,09.09.2021 15:56,09.09.2021 16:10
