Alt_int,Alt_mid,NO2,p,NO2_mr,AK,AK_trop,T
69.23412543,36.53993809,2.17e+16,1015.11125,8.54e-10,0.174992118,0.298020009,290.1844788
233.731044,150.2727345,1.08e+16,996.1372656,4.27e-10,0.215563321,0.367114724,289.0158386
481.7403394,357.0766847,7022270000000000.0,967.2679688,2.84e-10,0.256350322,0.436576951,287.1072693
857.0410279,674.0570944,4151450000000000.0,924.6753906,1.73e-10,0.344685733,0.587016413,285.1671448
1418.940609,1144.583051,2366460000000000.0,864.6136719,1.04e-10,0.415318862,0.707308034,285.4596252
2039.426966,1731.813387,715432000000000.0,802.5692969,3.37e-11,0.49163704,0.837281569,284.2915955
3060.481936,2532.635423,729622000000000.0,709.0176563,3.73e-11,0.577843659,0.984095595,280.1534119
4067.196812,3536.23659,664375000000000.0,625.7446875,3.77e-11,0.681354992,1.160380384,274.1016235
5205.15484,4590.930073,470496000000000.0,541.2423047,2.98e-11,0.779047832,1.326755997,267.8669434
6415.437637,5731.881157,402705000000000.0,462.2209375,2.89e-11,0.862545431,1.468956432,261.1389465
7937.572229,7059.544464,368977000000000.0,376.4272656,3.06e-11,0.949533567,1.617101419,251.865921
9144.015681,8400.878261,449393000000000.0,317.4576172,4.31e-11,1.031307265,1.756365968,240.9645538
10045.62705,9444.150323,633197000000000.0,278.3514844,6.81e-11,1.089334443,1.855189048,232.0918732
10920.17421,10333.13954,823034000000000.0,243.2810156,9.81e-11,1.131722897,1.927378628,225.127121
11513.46192,11060.74072,970346000000000.0,221.988125,1.27e-10,1.157778189,1.971752045,221.3936005
12432.77396,11788.22193,818078000000000.0,192.9589258,1.21e-10,1.165458441,1.984831884,221.793396
