profile,mid_layer_altitude [m],Lat,Long,NO2 [molec/m^3],w_n [m/s],w_e [m/s],start [UTC],end [UTC]
21116_2,25,,,,,,22.07.2021 11:16,22.07.2021 11:33
21116_2,75,53.17203363,4.549649804,3.36e+16,-4.289342417,-0.432010046,22.07.2021 11:16,22.07.2021 11:33
21116_2,125,53.17185857,4.543438333,6.8e+16,-4.125011622,-0.674818285,22.07.2021 11:16,22.07.2021 11:33
21116_2,175,53.19307867,4.543532444,2.96e+16,-2.845775286,-2.064538483,22.07.2021 11:16,22.07.2021 11:33
21116_2,225,53.19174378,4.567533333,4.32e+16,-3.68562518,1.054047956,22.07.2021 11:16,22.07.2021 11:33
21116_2,275,53.2044225,4.573545,4.51e+16,-2.089952907,0.155280526,22.07.2021 11:16,22.07.2021 11:33
21116_2,325,53.20710211,4.559649737,2.11e+16,-1.002857079,-1.732944105,22.07.2021 11:16,22.07.2021 11:33
21116_2,375,53.1962981,4.55450619,3240000000000000.0,-4.235438691,-2.323553704,22.07.2021 11:16,22.07.2021 11:33
21116_2,425,53.19193889,4.568349444,5.89e+16,-5.701626986,0.924374036,22.07.2021 11:16,22.07.2021 11:33
21116_2,475,53.19842412,4.581310588,3.21e+16,-3.207074944,1.524622355,22.07.2021 11:16,22.07.2021 11:33
21116_2,525,53.21171783,4.581466957,2.56e+16,-2.516900919,0.642218384,22.07.2021 11:16,22.07.2021 11:33
21116_2,575,53.21683037,4.564835185,2.67e+16,-1.740034609,-0.458893918,22.07.2021 11:16,22.07.2021 11:33
21116_2,625,53.20778542,4.5531875,1.74e+16,-2.493035688,-2.672654092,22.07.2021 11:16,22.07.2021 11:33
21116_2,675,53.19744414,4.569374828,7070000000000000.0,-4.761546324,-0.118703343,22.07.2021 11:16,22.07.2021 11:33
21116_2,725,53.20106391,4.588031304,1.12e+16,-3.563925517,1.276837281,22.07.2021 11:16,22.07.2021 11:33
21116_2,775,53.21326967,4.593850333,-4750000000000000.0,-3.261151839,0.820308707,22.07.2021 11:16,22.07.2021 11:33
21116_2,825,53.22242407,4.581171111,6470000000000000.0,-3.285238567,0.042949049,22.07.2021 11:16,22.07.2021 11:33
21116_2,875,53.21376818,4.572270909,-2.59e+16,-4.062186209,-2.367103848,22.07.2021 11:16,22.07.2021 11:33
21116_2,925,53.20922233,4.591369667,-8800000000000000.0,-6.986071744,0.919950934,22.07.2021 11:16,22.07.2021 11:33
21116_2,975,53.22129774,4.603356129,5710000000000000.0,-6.651632667,1.041408107,22.07.2021 11:16,22.07.2021 11:33
21116_2,1025,53.23101564,4.591545385,3.9e+16,-5.581815369,-0.794481936,22.07.2021 11:16,22.07.2021 11:33
21116_2,1075,53.21688194,4.582501613,-8440000000000000.0,-6.617502345,-2.533958551,22.07.2021 11:16,22.07.2021 11:33
21116_2,1125,53.21561629,4.606647429,-3.57e+16,-6.661542132,0.655189306,22.07.2021 11:16,22.07.2021 11:33
21116_2,1175,53.22876444,4.611203704,-2690000000000000.0,-5.146174348,0.902311332,22.07.2021 11:16,22.07.2021 11:33
21116_2,1225,53.23683536,4.592186429,-1.81e+16,-3.736218781,-0.135340195,22.07.2021 11:16,22.07.2021 11:33
21116_2,1275,53.22844708,4.574148333,-1.05e+16,-3.917575694,-2.911279615,22.07.2021 11:16,22.07.2021 11:33
21116_2,1325,53.21472929,4.579185357,-2.45e+16,-6.832088694,-0.938198693,22.07.2021 11:16,22.07.2021 11:33
21116_2,1375,53.21145923,4.599131154,-3200000000000000.0,-6.583428834,1.724946337,22.07.2021 11:16,22.07.2021 11:33
21116_2,1425,,,,,,22.07.2021 11:16,22.07.2021 11:33
21116_2,1475,,,,,,22.07.2021 11:16,22.07.2021 11:33
